 

stn;time;rre150z0
CHU;202007071550;0.0
CHU;202007071600;0.0
CHU;202007071610;0.0
CHU;202007071620;0.0
CHU;202007071630;0.0
CHU;202007071640;0.0
CHU;202007071650;0.0
CHU;202007071700;0.0
CHU;202007071710;0.0
CHU;202007071720;0.0
CHU;202007071730;0.0
CHU;202007071740;0.0
CHU;202007071750;0.0
CHU;202007071800;0.0
CHU;202007071810;0.0
CHU;202007071820;0.0
CHU;202007071830;0.0
CHU;202007071840;0.0
CHU;202007071850;0.0
CHU;202007071900;0.0
CHU;202007071910;0.0
CHU;202007071920;0.0
CHU;202007071930;0.0
CHU;202007071940;0.0
CHU;202007071950;0.0
CHU;202007072000;0.0
CHU;202007072010;0.0
CHU;202007072020;0.0
CHU;202007072030;0.0
CHU;202007072040;0.0
CHU;202007072050;0.0
CHU;202007072100;0.0
CHU;202007072110;0.0
CHU;202007072120;0.0
CHU;202007072130;0.0
CHU;202007072140;0.0
CHU;202007072150;0.0
CHU;202007072200;0.0
CHU;202007072210;0.0
CHU;202007072220;0.0
CHU;202007072230;0.0
CHU;202007072240;0.0
CHU;202007072250;0.0
CHU;202007072300;0.0
CHU;202007072310;0.0
CHU;202007072320;0.0
CHU;202007072330;0.0
CHU;202007072340;0.0
CHU;202007072350;0.0
CHU;202007080000;0.0
CHU;202007080010;0.0
CHU;202007080020;0.0
CHU;202007080030;0.0
CHU;202007080040;0.0
CHU;202007080050;0.0
CHU;202007080100;0.0
CHU;202007080110;0.0
CHU;202007080120;0.0
CHU;202007080130;0.0
CHU;202007080140;0.0
CHU;202007080150;0.0
CHU;202007080200;0.0
CHU;202007080210;0.0
CHU;202007080220;0.0
CHU;202007080230;0.0
CHU;202007080240;0.0
CHU;202007080250;0.0
CHU;202007080300;0.0
CHU;202007080310;0.0
CHU;202007080320;0.0
CHU;202007080330;0.0
CHU;202007080340;0.0
CHU;202007080350;0.0
CHU;202007080400;0.0
CHU;202007080410;0.0
CHU;202007080420;0.0
CHU;202007080430;0.0
CHU;202007080440;0.0
CHU;202007080450;0.0
CHU;202007080500;0.0
CHU;202007080510;0.0
CHU;202007080520;0.0
CHU;202007080530;0.0
CHU;202007080540;0.0
CHU;202007080550;0.0
CHU;202007080600;0.0
CHU;202007080610;0.0
CHU;202007080620;0.0
CHU;202007080630;0.0
CHU;202007080640;0.0
CHU;202007080650;0.0
CHU;202007080700;0.0
CHU;202007080710;0.0
CHU;202007080720;0.0
CHU;202007080730;0.0
CHU;202007080740;0.0
CHU;202007080750;0.0
CHU;202007080800;0.0
CHU;202007080810;0.0
CHU;202007080820;0.0
CHU;202007080830;0.0
CHU;202007080840;0.0
CHU;202007080850;0.0
CHU;202007080900;0.0
CHU;202007080910;0.0
CHU;202007080920;0.0
CHU;202007080930;0.0
CHU;202007080940;0.0
CHU;202007080950;0.0
CHU;202007081000;0.0
CHU;202007081010;0.0
